id,cid,txn_id,date,Type,amount,status,note,owner,Created,created_by,modified,modified_by,hsn,Desc
1,137,COSEL/2017-2018/TI/1,2017-12-02,active,2688,unpaid,Challan No: 132456 Dt: 12/11/17,2,2017-12-02 17:12:29,2,NULL,NULL,NULL,NULL
2,137,COSEL/2017-2018/TI/1,2017-12-02,active,0,unpaid,,2,2017-12-02 17:12:31,2,NULL,NULL,false,false
3,77,COSEL/2017-2018/TI/49,2017-12-30,active,1770,unpaid,,2,2017-12-30 11:12:53,2,NULL,NULL,NULL,NULL
4,192,COSEL/2017-2018/TI/50,2018-01-06,active,15576,unpaid,,2,2018-01-06 11:01:45,2,NULL,NULL,NULL,NULL
5,187,COSEL/2017-2018/TI/51,2018-01-08,active,156480.314,unpaid,,2,2018-01-09 13:01:47,2,NULL,NULL,NULL,NULL
6,70,COSEL/2017-2018/TI/52,2018-01-11,active,19234,unpaid,,2,2018-01-11 11:01:58,2,NULL,NULL,NULL,NULL
7,201,EVO/INV/001,2018-01-13,active,2520,unpaid,,4,2018-01-13 13:01:17,4,NULL,NULL,NULL,NULL
8,202,EVO/INV/002,2018-01-13,active,840,unpaid,,4,2018-01-13 13:01:08,4,NULL,NULL,NULL,NULL
9,201,,2018-01-13,active,2520,unpaid,,4,2018-01-13 14:01:23,4,NULL,NULL,NULL,NULL
10,188,COSEL/17-18/TI/54,2018-01-15,active,125810.656,unpaid,,2,2018-01-17 12:01:19,2,NULL,NULL,NULL,NULL
11,211,EVO/13/890,2018-01-19,active,0,unpaid,,4,2018-01-19 16:01:59,4,NULL,NULL,NULL,NULL
12,165,COSEL/2017-2018/TI/55,2018-01-19,active,8142,unpaid,,2,2018-01-19 17:01:21,2,NULL,NULL,NULL,NULL
13,213,COSEL/2017-2018/TI/56,2018-01-25,active,15340,unpaid,,2,2018-01-25 14:01:00,2,NULL,NULL,NULL,NULL
14,211,EVO/INV/124,2018-01-28,active,0,unpaid,,4,2018-01-28 15:01:16,4,NULL,NULL,NULL,NULL
15,211,EVO/INV/124,2018-01-28,active,0,unpaid,,4,2018-01-28 15:01:19,4,NULL,NULL,NULL,NULL
16,211,EVO/INV/124,2018-01-28,active,0,unpaid,,4,2018-01-28 15:01:20,4,NULL,NULL,NULL,NULL
17,216,NULL,NULL,active,0,unpaid,NULL,4,2018-01-28 15:01:28,4,NULL,NULL,NULL,NULL
18,211,EVO/INV/124,2018-01-28,active,0,unpaid,,4,2018-01-28 15:01:56,4,NULL,NULL,NULL,NULL
19,211,EVO/INV/124,2018-01-28,active,500,unpaid,,4,2018-01-28 16:01:32,4,NULL,NULL,true,true
20,213,COSEL/2017-2018/TI/57,2018-01-29,active,2891,unpaid,,2,2018-01-29 12:01:40,2,NULL,NULL,false,false
21,115,COSEL/2017-2018/TI/58,2018-01-29,active,6224.5,unpaid,,2,2018-01-29 13:01:55,2,NULL,NULL,false,false
22,137,COSEL/2017-2018/TI/59,2018-02-05,active,1416,unpaid,,2,2018-02-05 14:02:04,2,NULL,NULL,false,false
23,123,COSEL/2017-2018/TI/60,2018-02-19,active,28096.98,unpaid,,2,2018-02-19 17:02:31,2,NULL,NULL,false,false
24,265,COSEL/2017-2018/TI/61,2018-02-20,active,11564,unpaid,,2,2018-02-20 12:02:33,2,NULL,NULL,false,false
25,265,COSEL/2017-2018/TI/62,2018-03-06,active,2478,unpaid,,2,2018-02-22 11:02:53,2,NULL,NULL,false,false
26,268,COSEL/2017-2018/TI/63,2017-02-27,active,28792,unpaid,,2,2018-03-10 11:03:49,2,NULL,NULL,false,false
27,269,COSEL/2017-2018/TI/64,2018-03-15,active,3746.5,unpaid,,2,2018-03-15 13:03:54,2,NULL,NULL,false,false
28,271,COSEL/2017-2018/TI/65,2018-03-17,active,28400.24,unpaid,,2,2018-03-17 15:03:11,2,NULL,NULL,false,false
29,269,COSEL/2017-2018/TI/66,2018-03-26,active,6540,unpaid,,2,2018-03-26 12:03:22,2,NULL,NULL,false,false
30,273,COSEL/2017-2018/TI/67,2018-03-26,active,944,unpaid,,2,2018-03-26 13:03:40,2,NULL,NULL,false,false
31,275,COSEL/2017-2018/TI/70,2018-03-28,active,182168.4,unpaid,,2,2018-04-03 11:04:20,2,NULL,NULL,false,false
32,268,COSEL/2018-2019/TI/01,2018-04-09,active,14986,unpaid,,2,2018-04-09 14:04:36,2,NULL,NULL,false,false
33,278,EVO/TI/001,2018-04-09,active,50000,paid,,4,2018-04-09 17:04:10,4,NULL,NULL,false,false
34,137,COSEL/2017-2018/TI/02,2018-04-14,active,1180,unpaid,,2,2018-04-14 11:04:13,2,NULL,NULL,false,false
35,143,COSEL/2018-2019/TI/03,2018-04-20,active,17405,unpaid,Order no.F-3/Modernisation/CCTV AMC/EPPC/CSDN/2017-18 Dt.at Mbi-01 the 16.01.2018,2,2018-04-20 16:04:07,2,NULL,NULL,false,false
36,143,COSEL/2018-2019/TI/03,2018-04-20,active,17405,unpaid,Your Order no.F-3/Modernisation/CCTV AMC/eppc/c     sdn/2017-18  Dt.at Mbi-01 the 16.01.2018,2,2018-04-20 16:04:14,2,NULL,NULL,false,false
37,192,COSEL/2018-2019/TI/05,2018-04-21,active,15174.8,unpaid,,2,2018-04-21 11:04:23,2,NULL,NULL,false,false
38,115,COSEL/2018-2019/TI/06,2018-04-28,active,590,unpaid,,2,2018-04-28 11:04:46,2,NULL,NULL,false,false
39,137,COSEL/2018-2019/TI/07,2018-05-09,active,0,unpaid,,2,2018-05-09 15:05:26,2,NULL,NULL,false,false
40,137,COSEL/2018-2019/TI/09,2018-05-09,active,0,unpaid,,2,2018-05-09 15:05:26,2,NULL,NULL,false,false
41,135,COSEL/2018-19/TI/11,2018-05-11,active,2596,unpaid,,2,2018-05-11 12:05:28,2,NULL,NULL,false,false
42,213,CE/2018-19/TI/12,2018-05-14,active,413,unpaid,,2,2018-05-14 14:05:28,2,NULL,NULL,false,false
43,165,CE/2018-19/TI/13,2018-05-28,active,2478,unpaid,,2,2018-05-28 11:05:32,2,NULL,NULL,false,false
44,162,COSEL/2018-2019/TI/14,2018-05-29,active,7268.8,unpaid,,2,2018-05-29 15:05:54,2,NULL,NULL,false,false
45,162,COSEL/2018-2019/TI/15,2018-05-31,active,2773,unpaid,,2,2018-05-31 12:05:04,2,NULL,NULL,false,false
46,192,COSEL/2018-2019/TI/16,2018-06-04,active,7965,unpaid,,2,2018-06-04 11:06:39,2,NULL,NULL,false,false
47,288,COSEL/2018-2019/TI/17,2018-06-04,active,23659,unpaid,,2,2018-06-04 12:06:27,2,NULL,NULL,false,false
48,268,COSEL/2018-2019/TI/18,2018-06-04,active,11210,unpaid,,2,2018-06-08 12:06:17,2,NULL,NULL,false,false
49,187,COSEL/2018-2019/TI/19,2018-06-15,active,708,unpaid,,2,2018-06-15 13:06:11,2,NULL,NULL,false,false
50,160,COSEL/2018-2019/TI/20,2018-06-27,active,2950,unpaid,,2,2018-06-27 11:06:53,2,NULL,NULL,false,false
51,265,COSEL/2018-2019/TI/25,2018-08-11,active,12242.5,unpaid,,2,2018-08-11 11:08:20,2,NULL,NULL,false,false
52,131,COSEL/2017-2018/TI/30,2018-08-30,active,1298,unpaid,,2,2018-08-30 12:08:32,2,NULL,NULL,false,false
53,115,COSEL/2017-2018/TI/32,2018-09-17,active,34343.9,unpaid,,2,2018-09-17 14:09:42,2,NULL,NULL,false,false
54,275,COSEL/2017-2018/TI/33,2018-09-17,active,28174.86,unpaid,,2,2018-09-17 14:09:43,2,NULL,NULL,false,false
55,283,COSEL/2017-2018/TI/35,2018-09-22,active,2124,unpaid,,2,2018-09-18 15:09:24,2,NULL,NULL,false,false
56,121,COSEL/2017-2018/TI/34,2018-09-18,active,0,unpaid,,2,2018-09-18 15:09:27,2,NULL,NULL,false,false
57,165,COSEL/2018-2019/TI/36,2018-09-20,active,0,unpaid,,2,2018-09-24 16:09:57,2,NULL,NULL,false,false
58,115,COSEL/2017-2018/TI/37,2018-09-29,active,5310,unpaid,,2,2018-09-29 13:09:03,2,NULL,NULL,false,false
59,113,COSEL/2018-2019/TI/38,2018-10-09,active,11613.56,unpaid,,2,2018-10-09 13:10:35,2,NULL,NULL,false,false
60,137,COSEL/2018-2019/TI/39,2018-10-15,active,0,unpaid,,2,2018-10-15 15:10:28,2,NULL,NULL,false,false
61,143,COSEL/2018-2019/TI/40,2018-10-15,active,0,unpaid,,2,2018-10-15 15:10:34,2,NULL,NULL,false,false
62,295,COSEL/2018-2019/TI/41,2018-10-16,active,0,unpaid,,2,2018-10-20 15:10:23,2,NULL,NULL,false,false
63,63,COSEL/2018-2019/TI/44,2018-10-31,active,39991.675,unpaid,,2,2018-10-31 10:10:12,2,NULL,NULL,false,false
64,192,COSEL/2017-2018/TI/45,2018-11-23,active,9204,unpaid,,2,2018-11-23 12:11:02,2,NULL,NULL,false,false
65,300,COSEL/2018-2019/TI/46,2018-12-06,active,0,unpaid,,2,2018-12-17 16:12:23,2,NULL,NULL,false,false
66,301,COSEL/2018-2019/TI/47,2018-12-12,active,0,unpaid,,2,2018-12-17 16:12:20,2,NULL,NULL,false,false
67,140,COSEL/2018-2019/TI/48,2018-12-18,active,0,unpaid,,2,2018-12-17 16:12:08,2,NULL,NULL,false,false
68,300,COSEL/2018-2019/TI/46,2018-12-19,active,0,unpaid,,2,2018-12-28 17:12:51,2,NULL,NULL,false,false
69,302,COSEL/2018-2019/TI/49,2018-12-24,active,0,unpaid,,2,2018-12-28 17:12:39,2,NULL,NULL,false,false
70,130,COSEL/2018-2019/TI/50,2018-12-28,active,0,unpaid,,2,2018-12-28 17:12:24,2,NULL,NULL,false,false