id,pid,tax_id,Owner,created,created_by,modified,modified_by
169,11,2,2,2018-01-29 13:01:00,2,NULL,NULL
349,16,2,2,2018-09-17 14:09:02,2,NULL,NULL
228,14,2,2,2018-02-21 13:02:10,2,NULL,NULL
218,17,2,2,2018-02-21 13:02:48,2,NULL,NULL
350,20,2,2,2018-09-17 14:09:33,2,NULL,NULL
348,21,2,2,2018-09-17 14:09:46,2,NULL,NULL
266,22,2,2,2018-03-15 13:03:18,2,NULL,NULL
226,23,2,2,2018-02-21 13:02:53,2,NULL,NULL
246,24,2,2,2018-02-21 13:02:07,2,NULL,NULL
241,25,2,2,2018-02-21 13:02:19,2,NULL,NULL
320,27,2,2,2018-04-27 13:04:31,2,NULL,NULL
319,28,2,2,2018-04-27 13:04:13,2,NULL,NULL
15,29,3,2,2017-11-17 16:11:51,2,NULL,NULL
16,30,2,2,2017-11-17 16:11:28,2,NULL,NULL
17,31,2,2,2017-11-17 16:11:36,2,NULL,NULL
90,33,4,2,2018-01-09 15:01:14,2,NULL,NULL
342,34,2,2,2018-06-18 12:06:19,2,NULL,NULL
343,35,2,2,2018-06-18 12:06:04,2,NULL,NULL
344,36,2,2,2018-06-18 12:06:33,2,NULL,NULL
214,38,2,2,2018-02-19 17:02:02,2,NULL,NULL
28,39,2,2,2017-12-02 16:12:43,2,NULL,NULL
215,40,2,2,2018-02-19 17:02:46,2,NULL,NULL
30,41,2,2,2017-12-02 16:12:21,2,NULL,NULL
312,42,2,2,2018-04-20 16:04:34,2,NULL,NULL
255,43,2,2,2018-02-21 14:02:55,2,NULL,NULL
34,47,2,2,2017-12-04 16:12:21,2,NULL,NULL
222,15,2,2,2018-02-21 13:02:01,2,NULL,NULL
362,48,2,2,2018-09-24 13:09:32,2,NULL,NULL
43,49,2,2,2017-12-11 15:12:53,2,NULL,NULL
126,51,2,2,2018-01-17 17:01:44,2,NULL,NULL
47,52,2,2,2017-12-20 14:12:31,2,NULL,NULL
48,53,2,2,2017-12-20 14:12:03,2,NULL,NULL
242,54,2,2,2018-02-21 13:02:13,2,NULL,NULL
235,56,2,2,2018-02-21 13:02:32,2,NULL,NULL
52,57,2,2,2017-12-29 13:12:59,2,NULL,NULL
57,58,2,2,2017-12-29 13:12:45,2,NULL,NULL
54,59,2,2,2017-12-29 13:12:32,2,NULL,NULL
55,60,2,2,2017-12-29 13:12:04,2,NULL,NULL
59,61,2,2,2017-12-29 14:12:48,2,NULL,NULL
110,62,2,2,2018-01-17 12:01:58,2,NULL,NULL
66,63,2,2,2017-12-30 11:12:14,2,NULL,NULL
63,64,2,2,2017-12-30 11:12:08,2,NULL,NULL
213,65,2,2,2018-02-19 17:02:53,2,NULL,NULL
262,66,2,2,2018-03-10 11:03:28,2,NULL,NULL
244,67,2,2,2018-02-21 13:02:43,2,NULL,NULL
71,68,2,2,2018-01-02 13:01:40,2,NULL,NULL
72,69,2,2,2018-01-02 13:01:45,2,NULL,NULL
73,70,2,2,2018-01-04 11:01:02,2,NULL,NULL
74,71,2,2,2018-01-04 11:01:51,2,NULL,NULL
75,72,2,2,2018-01-04 11:01:02,2,NULL,NULL
76,73,2,2,2018-01-06 11:01:32,2,NULL,NULL
338,74,2,2,2018-06-06 13:06:50,2,NULL,NULL
339,37,2,2,2018-06-06 13:06:02,2,NULL,NULL
82,75,2,2,2018-01-08 16:01:08,2,NULL,NULL
259,76,2,2,2018-02-21 14:02:55,2,NULL,NULL
84,77,2,2,2018-01-09 13:01:05,2,NULL,NULL
87,79,2,2,2018-01-09 15:01:28,2,NULL,NULL
89,78,2,2,2018-01-09 15:01:00,2,NULL,NULL
92,81,2,2,2018-01-09 15:01:47,2,NULL,NULL
93,82,2,2,2018-01-09 15:01:57,2,NULL,NULL
256,83,4,2,2018-02-21 14:02:21,2,NULL,NULL
95,84,2,2,2018-01-11 11:01:58,2,NULL,NULL
96,87,2,2,2018-01-13 11:01:56,2,NULL,NULL
97,88,2,2,2018-01-13 11:01:43,2,NULL,NULL
99,89,5,4,2018-01-13 13:01:41,4,NULL,NULL
100,18,2,2,2018-01-15 11:01:21,2,NULL,NULL
101,90,2,2,2018-01-15 11:01:39,2,NULL,NULL
128,91,2,2,2018-01-17 17:01:42,2,NULL,NULL
106,96,0,4,2018-01-15 13:01:04,4,NULL,NULL
107,97,0,4,2018-01-15 13:01:24,4,NULL,NULL
109,98,0,4,2018-01-16 14:01:33,4,NULL,NULL
243,99,2,2,2018-02-21 13:02:14,2,NULL,NULL
112,100,2,2,2018-01-17 13:01:41,2,NULL,NULL
224,19,2,2,2018-02-21 13:02:55,2,NULL,NULL
119,101,2,2,2018-01-17 15:01:04,2,NULL,NULL
120,102,2,2,2018-01-17 15:01:10,2,NULL,NULL
129,103,2,2,2018-01-17 17:01:34,2,NULL,NULL
123,104,2,2,2018-01-17 17:01:22,2,NULL,NULL
130,106,2,2,2018-01-25 13:01:39,2,NULL,NULL
145,107,2,2,2018-01-27 14:01:12,2,NULL,NULL
132,108,2,2,2018-01-27 14:01:20,2,NULL,NULL
133,109,2,2,2018-01-27 14:01:57,2,NULL,NULL
134,46,0,2,2018-01-27 14:01:50,2,NULL,NULL
135,110,2,2,2018-01-27 14:01:11,2,NULL,NULL
136,111,2,2,2018-01-27 14:01:34,2,NULL,NULL
137,112,2,2,2018-01-27 14:01:49,2,NULL,NULL
146,113,2,2,2018-01-27 15:01:03,2,NULL,NULL
139,114,2,2,2018-01-27 14:01:56,2,NULL,NULL
140,115,2,2,2018-01-27 14:01:05,2,NULL,NULL
141,116,2,2,2018-01-27 14:01:50,2,NULL,NULL
147,117,2,2,2018-01-27 15:01:44,2,NULL,NULL
143,118,2,2,2018-01-27 14:01:17,2,NULL,NULL
148,119,2,2,2018-01-27 15:01:21,2,NULL,NULL
370,121,2,2,2018-09-24 13:09:43,2,NULL,NULL
373,122,2,2,2018-09-24 13:09:10,2,NULL,NULL
371,123,2,2,2018-09-24 13:09:23,2,NULL,NULL
152,124,2,2,2018-01-27 16:01:41,2,NULL,NULL
153,125,2,2,2018-01-27 16:01:09,2,NULL,NULL
154,126,2,2,2018-01-27 16:01:38,2,NULL,NULL
155,127,2,2,2018-01-27 16:01:02,2,NULL,NULL
156,128,2,2,2018-01-27 16:01:40,2,NULL,NULL
157,129,2,2,2018-01-27 16:01:11,2,NULL,NULL
158,130,2,2,2018-01-27 16:01:56,2,NULL,NULL
159,131,2,2,2018-01-27 16:01:23,2,NULL,NULL
162,132,2,2,2018-01-28 15:01:42,2,NULL,NULL
163,95,0,4,2018-01-28 23:01:35,4,NULL,NULL
170,12,2,2,2018-01-29 13:01:53,2,NULL,NULL
236,55,2,2,2018-02-21 13:02:52,2,NULL,NULL
383,133,2,2,2018-10-09 13:10:00,2,NULL,NULL
173,134,2,2,2018-01-29 14:01:46,2,NULL,NULL
185,135,2,2,2018-02-10 13:02:11,2,NULL,NULL
294,136,2,2,2018-04-03 12:04:41,2,NULL,NULL
196,138,2,2,2018-02-15 15:02:12,2,NULL,NULL
197,139,2,2,2018-02-15 15:02:41,2,NULL,NULL
188,140,2,2,2018-02-14 13:02:41,2,NULL,NULL
201,146,2,2,2018-02-16 17:02:52,2,NULL,NULL
260,149,2,2,2018-02-21 14:02:33,2,NULL,NULL
209,143,2,2,2018-02-16 17:02:52,2,NULL,NULL
204,144,2,2,2018-02-16 17:02:11,2,NULL,NULL
205,142,2,2,2018-02-16 17:02:38,2,NULL,NULL
252,147,2,2,2018-02-21 14:02:55,2,NULL,NULL
253,148,2,2,2018-02-21 14:02:03,2,NULL,NULL
217,150,2,2,2018-02-20 16:02:57,2,NULL,NULL
257,44,0,2,2018-02-21 14:02:12,2,NULL,NULL
261,151,2,2,2018-02-22 11:02:33,2,NULL,NULL
265,152,2,2,2018-03-15 13:03:44,2,NULL,NULL
264,153,2,2,2018-03-15 13:03:18,2,NULL,NULL
267,154,2,2,2018-03-15 13:03:22,2,NULL,NULL
269,155,3,2,2018-03-15 13:03:46,2,NULL,NULL
270,157,2,2,2018-03-17 15:03:27,2,NULL,NULL
271,158,3,2,2018-03-17 16:03:34,2,NULL,NULL
274,160,2,2,2018-03-26 12:03:42,2,NULL,NULL
275,161,2,2,2018-03-26 13:03:18,2,NULL,NULL
276,162,2,2,2018-03-27 14:03:07,2,NULL,NULL
305,163,2,2,2018-04-03 13:04:16,2,NULL,NULL
299,164,2,2,2018-04-03 12:04:47,2,NULL,NULL
300,165,2,2,2018-04-03 12:04:11,2,NULL,NULL
298,166,2,2,2018-04-03 12:04:13,2,NULL,NULL
283,167,2,2,2018-04-02 12:04:27,2,NULL,NULL
303,168,3,2,2018-04-03 13:04:05,2,NULL,NULL
304,169,3,2,2018-04-03 13:04:30,2,NULL,NULL
306,170,3,2,2018-04-06 15:04:36,2,NULL,NULL
307,171,2,2,2018-04-09 14:04:24,2,NULL,NULL
308,172,0,2,2018-04-09 14:04:43,2,NULL,NULL
309,174,2,2,2018-04-14 11:04:18,2,NULL,NULL
310,175,2,2,2018-04-14 16:04:39,2,NULL,NULL
311,176,2,2,2018-04-14 16:04:54,2,NULL,NULL
313,187,2,2,2018-04-21 11:04:32,2,NULL,NULL
314,188,2,2,2018-04-23 11:04:20,2,NULL,NULL
315,194,2,2,2018-04-23 16:04:31,2,NULL,NULL
316,195,2,2,2018-04-25 11:04:55,2,NULL,NULL
317,197,2,2,2018-04-26 12:04:48,2,NULL,NULL
318,198,2,2,2018-04-27 13:04:15,2,NULL,NULL
321,199,2,2,2018-04-27 13:04:19,2,NULL,NULL
322,206,2,2,2018-05-04 12:05:46,2,NULL,NULL
323,210,2,2,2018-05-11 12:05:52,2,NULL,NULL
326,212,2,2,2018-05-28 17:05:24,2,NULL,NULL
325,213,2,2,2018-05-28 17:05:51,2,NULL,NULL
327,214,2,2,2018-05-28 17:05:51,2,NULL,NULL
328,215,2,2,2018-05-31 11:05:46,2,NULL,NULL
330,216,2,2,2018-06-01 14:06:38,2,NULL,NULL
333,201,2,2,2018-06-04 12:06:53,2,NULL,NULL
340,217,2,2,2018-06-08 12:06:56,2,NULL,NULL
341,218,2,2,2018-06-15 13:06:58,2,NULL,NULL
345,220,3,2,2018-08-30 12:08:26,2,NULL,NULL
351,221,2,2,2018-09-17 14:09:45,2,NULL,NULL
358,222,2,2,2018-09-24 13:09:12,2,NULL,NULL
368,223,3,2,2018-09-24 13:09:03,2,NULL,NULL
359,224,2,2,2018-09-24 13:09:21,2,NULL,NULL
356,225,3,2,2018-09-24 13:09:39,2,NULL,NULL
363,226,0,2,2018-09-24 13:09:44,2,NULL,NULL
364,227,0,2,2018-09-24 13:09:45,2,NULL,NULL
365,228,3,2,2018-09-24 13:09:19,2,NULL,NULL
366,229,3,2,2018-09-24 13:09:49,2,NULL,NULL
367,230,3,2,2018-09-24 13:09:00,2,NULL,NULL
376,231,3,2,2018-09-24 13:09:33,2,NULL,NULL
375,232,2,2,2018-09-24 13:09:49,2,NULL,NULL
378,233,2,2,2018-09-24 13:09:51,2,NULL,NULL
380,234,2,2,2018-09-24 13:09:44,2,NULL,NULL
384,235,3,2,2018-10-09 13:10:15,2,NULL,NULL
385,236,2,2,2018-10-31 10:10:08,2,NULL,NULL