id,inid,pid,modal,s/n,rate,qty,discount,amount,tax,tax_amount,Alias,Owner
49,1,15,NULL,NULL,2500,4,,10000,NULL,NULL,true,2
48,1,16,NULL,NULL,2700,12,,32400,NULL,NULL,true,2
47,1,41,NULL,NULL,15000,1,,15000,NULL,NULL,false,2
46,1,48,NULL,NULL,8500,1,,8500,NULL,NULL,false,2
45,1,36,NULL,NULL,2100,1,,2100,NULL,NULL,false,2
44,1,27,NULL,NULL,45,34,,1530,NULL,NULL,false,2
43,1,28,NULL,NULL,30,16,,480,NULL,NULL,false,2
270,2,67,NULL,NULL,3000,19,,57000,NULL,NULL,false,2
269,2,66,NULL,NULL,9000,19,,171000,NULL,NULL,false,2
268,2,56,NULL,NULL,10500,1,,10500,NULL,NULL,false,2
267,2,27,NULL,NULL,54,16,,864,NULL,NULL,false,2
266,2,35,NULL,NULL,1800,1,,1800,NULL,NULL,false,2
265,2,20,NULL,NULL,5700,1,,5700,NULL,NULL,false,2
264,2,16,NULL,NULL,2700,6,,16200,NULL,NULL,false,2
263,2,15,NULL,NULL,2500,2,,5000,NULL,NULL,false,2
262,2,55,NULL,NULL,100,8,,800,NULL,NULL,false,2
261,2,69,NULL,NULL,18000,1,,18000,NULL,NULL,false,2
260,2,65,NULL,NULL,10000,1,,10000,NULL,NULL,false,2
259,2,28,NULL,NULL,30,8,,240,NULL,NULL,false,2
690,3,98,NULL,NULL,20000,1,5%,19000,NULL,NULL,false,4
689,3,97,NULL,NULL,10000,1,5%,9500,NULL,NULL,false,4
688,3,96,NULL,NULL,10000,1,5%,9500,NULL,NULL,false,4
353,6,36,NULL,NULL,2100,1,,2100,NULL,NULL,false,2
352,6,50,NULL,NULL,14500,1,,14500,NULL,NULL,false,2
351,6,16,NULL,NULL,2700,2,,5400,NULL,NULL,false,2
350,6,15,NULL,NULL,2500,10,,25000,NULL,NULL,false,2
349,6,27,NULL,NULL,54,16,,864,NULL,NULL,false,2
348,6,65,NULL,NULL,5000,1,,5000,NULL,NULL,false,2
347,6,24,NULL,NULL,7200,1,,7200,NULL,NULL,false,2
346,6,48,NULL,NULL,9800,1,,9800,NULL,NULL,false,2
399,7,136,NULL,NULL,90,75,,6750,NULL,NULL,false,2
398,7,65,NULL,NULL,2500,1,,2500,NULL,NULL,false,2
397,7,28,NULL,NULL,30,4,,120,NULL,NULL,false,2
396,7,27,NULL,NULL,54,8,,432,NULL,NULL,false,2
395,7,20,NULL,NULL,6900,1,,6900,NULL,NULL,false,2
394,7,21,NULL,NULL,7200,1,,7200,NULL,NULL,false,2
393,7,16,NULL,NULL,2700,3,,8100,NULL,NULL,false,2
392,7,34,NULL,NULL,1250,1,,1250,NULL,NULL,false,2
428,8,136,NULL,NULL,65,100,,6500,NULL,NULL,false,2
427,8,28,NULL,NULL,30,7,,210,NULL,NULL,false,2
426,8,27,NULL,NULL,50,14,,700,NULL,NULL,false,2
425,8,20,NULL,NULL,6500,1,,6500,NULL,NULL,false,2
424,8,14,NULL,NULL,9000,1,,9000,NULL,NULL,false,2
423,8,16,NULL,NULL,2700,2,,5400,NULL,NULL,false,2
422,8,15,NULL,NULL,2500,5,,12500,NULL,NULL,false,2
421,8,35,NULL,NULL,1500,1,,1500,NULL,NULL,false,2
429,8,55,NULL,NULL,75,7,,525,NULL,NULL,false,2
557,10,156,NULL,NULL,46500,1,,46500,NULL,NULL,false,2
551,9,48,NULL,NULL,9000,4,,36000,NULL,NULL,false,2
550,9,142,NULL,NULL,21000,2,,42000,NULL,NULL,false,2
549,9,143,NULL,NULL,4000,1,,4000,NULL,NULL,false,2
548,9,144,NULL,NULL,12500,1,,12500,NULL,NULL,false,2
547,9,145,NULL,NULL,4500,2,,9000,NULL,NULL,false,2
546,9,146,NULL,NULL,90,1000,,90000,NULL,NULL,false,2
545,9,65,NULL,NULL,30000,1,,30000,NULL,NULL,false,2
544,9,147,NULL,NULL,6300,16,,100800,NULL,NULL,false,2
543,9,148,NULL,NULL,4500,8,,36000,NULL,NULL,false,2
542,9,149,NULL,NULL,16000,2,,32000,NULL,NULL,false,2
556,10,65,NULL,NULL,1500,1,,1500,NULL,NULL,false,2
559,11,16,NULL,NULL,2500,4,5%,9500,NULL,NULL,false,2
570,12,187,NULL,NULL,500,4,5%,1900,NULL,NULL,false,2
569,12,147,NULL,NULL,3000,4,5%,11400,NULL,NULL,false,2
568,12,27,NULL,NULL,45,4,,180,NULL,NULL,false,2
571,12,28,NULL,NULL,35,4,,140,NULL,NULL,false,2
611,13,65,NULL,NULL,1000,1,,1000,NULL,NULL,false,2
610,13,34,NULL,NULL,1350,1,5%,1282.5,NULL,NULL,false,2
609,13,147,NULL,NULL,2700,1,5%,2565,NULL,NULL,false,2
608,13,148,NULL,NULL,2500,3,5%,7125,NULL,NULL,false,2
606,13,21,NULL,NULL,5500,1,5%,5225,NULL,NULL,false,2
607,13,197,NULL,NULL,3500,1,5%,3325,NULL,NULL,false,2
605,13,27,NULL,NULL,45,8,,360,NULL,NULL,false,2
604,13,200,NULL,NULL,35,4,,140,NULL,NULL,false,2
637,14,136,NULL,NULL,65,50,,3250,NULL,NULL,false,2
636,14,200,NULL,NULL,0,0,,0,NULL,NULL,false,2
635,14,201,NULL,NULL,2500,3,5%,7125,NULL,NULL,false,2
634,14,34,NULL,NULL,1350,1,5%,1282.5,NULL,NULL,false,2
633,14,27,NULL,NULL,45,6,,270,NULL,NULL,false,2
632,14,28,NULL,NULL,35,3,,105,NULL,NULL,false,2
631,14,197,NULL,NULL,3500,1,5%,3325,NULL,NULL,false,2
630,14,21,NULL,NULL,5500,1,5%,5225,NULL,NULL,false,2
638,14,65,NULL,NULL,1000,1,,1000,NULL,NULL,false,2
671,15,200,NULL,NULL,0,0,,0,NULL,NULL,false,2
670,15,65,NULL,NULL,1000,0,,0,NULL,NULL,false,2
669,15,201,NULL,NULL,2500,1,,2500,NULL,NULL,false,2
668,15,27,NULL,NULL,45,2,,90,NULL,NULL,false,2
667,15,211,NULL,NULL,35,1,,35,NULL,NULL,false,2
666,15,138,NULL,NULL,9000,1,,9000,NULL,NULL,false,2
665,15,37,NULL,NULL,350,1,,350,NULL,NULL,false,2
672,16,15,NULL,NULL,2500,2,,5000,NULL,NULL,false,2
673,16,21,NULL,NULL,7000,1,,7000,NULL,NULL,false,2
674,16,138,NULL,NULL,9000,1,,9000,NULL,NULL,false,2
675,16,48,NULL,NULL,9800,1,,9800,NULL,NULL,false,2
676,16,55,NULL,NULL,100,2,,200,NULL,NULL,false,2
677,16,27,NULL,NULL,45,4,,180,NULL,NULL,false,2
678,16,34,NULL,NULL,1500,1,,1500,NULL,NULL,false,2
679,16,65,NULL,NULL,2000,1,,2000,NULL,NULL,false,2
740,17,65,NULL,NULL,2000,1,,2000,NULL,NULL,false,2
739,17,34,NULL,NULL,1500,1,,1500,NULL,NULL,false,2
738,17,27,NULL,NULL,45,4,,180,NULL,NULL,false,2
737,17,55,NULL,NULL,100,2,,200,NULL,NULL,false,2
736,17,48,NULL,NULL,9800,1,,9800,NULL,NULL,false,2
735,17,138,NULL,NULL,9000,1,,9000,NULL,NULL,false,2
734,17,21,NULL,NULL,7000,1,,7000,NULL,NULL,false,2
733,17,15,NULL,NULL,2500,2,,5000,NULL,NULL,false,2
715,18,221,NULL,NULL,90,100,,9000,NULL,NULL,false,2
716,18,65,NULL,NULL,1500,0,,0,NULL,NULL,false,2
732,19,221,NULL,NULL,90,100,,9000,NULL,NULL,false,2
731,19,65,NULL,NULL,1500,1,,1500,NULL,NULL,false,2