id,inid,Details id,tid,t_name,tax_percent,t_amount
83,1,49,6,CGST 9%,9,900
82,1,49,7,SGST9%,9,900
81,1,48,6,CGST 9%,9,2916
80,1,48,7,SGST9%,9,2916
79,1,47,6,CGST 9%,9,1350
78,1,47,7,SGST9%,9,1350
77,1,46,6,CGST 9%,9,765
76,1,46,7,SGST9%,9,765
75,1,45,9,SGST 14%,14,294
74,1,45,8,CGST 14%,14,294
73,1,44,9,SGST 14%,14,214.2
72,1,44,8,CGST 14%,14,214.2
71,1,43,9,SGST 14%,14,67.2
70,1,43,8,CGST 14%,14,67.2
1053,3,690,NULL,NULL,NULL,0
450,2,269,6,CGST 9%,9,15390
449,2,269,7,SGST9%,9,15390
448,2,268,6,CGST 9%,9,945
447,2,268,7,SGST9%,9,945
446,2,267,6,CGST 9%,9,77.76
445,2,267,7,SGST9%,9,77.76
444,2,266,6,CGST 9%,9,162
443,2,266,7,SGST9%,9,162
442,2,265,6,CGST 9%,9,513
441,2,265,7,SGST9%,9,513
440,2,264,6,CGST 9%,9,1458
439,2,264,7,SGST9%,9,1458
438,2,263,6,CGST 9%,9,450
437,2,263,7,SGST9%,9,450
436,2,262,6,CGST 9%,9,72
435,2,262,7,SGST9%,9,72
434,2,261,6,CGST 9%,9,1620
433,2,261,7,SGST9%,9,1620
432,2,260,6,CGST 9%,9,900
431,2,260,7,SGST9%,9,900
430,2,259,9,SGST 14%,14,33.6
429,2,259,8,CGST 14%,14,33.6
1052,3,689,NULL,NULL,NULL,0
1051,3,688,NULL,NULL,NULL,0
451,2,270,7,SGST9%,9,5130
452,2,270,6,CGST 9%,9,5130
674,7,398,7,SGST9%,9,225
589,6,353,NULL,NULL,NULL,0
588,6,351,6,CGST 9%,9,486
587,6,351,7,SGST9%,9,486
586,6,350,6,CGST 9%,9,2250
585,6,350,7,SGST9%,9,2250
584,6,349,6,CGST 9%,9,77.76
583,6,349,7,SGST9%,9,77.76
582,6,348,6,CGST 9%,9,450
581,6,348,7,SGST9%,9,450
580,6,347,NULL,NULL,NULL,0
579,6,346,6,CGST 9%,9,882
578,6,346,7,SGST9%,9,882
675,7,398,6,CGST 9%,9,225
673,7,397,6,CGST 9%,9,10.8
672,7,397,7,SGST9%,9,10.8
671,7,396,6,CGST 9%,9,38.88
670,7,396,7,SGST9%,9,38.88
669,7,395,6,CGST 9%,9,621
668,7,395,7,SGST9%,9,621
667,7,394,6,CGST 9%,9,648
666,7,394,7,SGST9%,9,648
665,7,393,6,CGST 9%,9,729
664,7,393,7,SGST9%,9,729
663,7,392,6,CGST 9%,9,112.5
662,7,392,7,SGST9%,9,112.5
676,7,399,7,SGST9%,9,607.5
677,7,399,6,CGST 9%,9,607.5
734,8,428,7,SGST9%,9,585
733,8,427,6,CGST 9%,9,18.9
732,8,427,7,SGST9%,9,18.9
731,8,426,6,CGST 9%,9,63
730,8,426,7,SGST9%,9,63
729,8,425,6,CGST 9%,9,585
728,8,425,7,SGST9%,9,585
727,8,424,6,CGST 9%,9,810
726,8,424,7,SGST9%,9,810
725,8,423,6,CGST 9%,9,486
724,8,423,7,SGST9%,9,486
723,8,422,6,CGST 9%,9,1125
722,8,422,7,SGST9%,9,1125
721,8,421,6,CGST 9%,9,135
720,8,421,7,SGST9%,9,135
735,8,428,6,CGST 9%,9,585
736,8,429,7,SGST9%,9,47.25
737,8,429,6,CGST 9%,9,47.25
829,9,551,7,SGST9%,9,3240
828,9,550,6,CGST 9%,9,3780
827,9,550,7,SGST9%,9,3780
826,9,549,6,CGST 9%,9,360
825,9,549,7,SGST9%,9,360
824,9,548,6,CGST 9%,9,1125
823,9,548,7,SGST9%,9,1125
822,9,546,6,CGST 9%,9,8100
821,9,546,7,SGST9%,9,8100
820,9,545,6,CGST 9%,9,2700
819,9,545,7,SGST9%,9,2700
818,9,544,6,CGST 9%,9,9072
817,9,544,7,SGST9%,9,9072
816,9,543,6,CGST 9%,9,3240
815,9,543,7,SGST9%,9,3240
814,9,542,6,CGST 9%,9,2880
813,9,542,7,SGST9%,9,2880
830,9,551,6,CGST 9%,9,3240
842,11,559,6,CGST 9%,9,855
838,10,556,6,CGST 9%,9,135
837,10,556,7,SGST9%,9,135
841,11,559,7,SGST9%,9,855
865,12,571,7,SGST9%,9,12.6
864,12,570,6,CGST 9%,9,171
863,12,570,7,SGST9%,9,171
862,12,569,6,CGST 9%,9,1026
861,12,569,7,SGST9%,9,1026
860,12,568,6,CGST 9%,9,16.2
859,12,568,7,SGST9%,9,16.2
866,12,571,6,CGST 9%,9,12.6
935,13,611,7,SGST9%,9,90
934,13,610,6,CGST 9%,9,115.425
933,13,610,7,SGST9%,9,115.425
932,13,609,6,CGST 9%,9,230.85
931,13,609,7,SGST9%,9,230.85
930,13,608,6,CGST 9%,9,641.25
929,13,608,7,SGST9%,9,641.25
928,13,607,6,CGST 9%,9,299.25
927,13,607,7,SGST9%,9,299.25
926,13,606,6,CGST 9%,9,470.25
925,13,606,7,SGST9%,9,470.25
924,13,605,6,CGST 9%,9,32.4
923,13,605,7,SGST9%,9,32.4
936,13,611,6,CGST 9%,9,90
977,14,638,7,SGST9%,9,90
976,14,637,6,CGST 9%,9,292.5
975,14,637,7,SGST9%,9,292.5
974,14,634,6,CGST 9%,9,115.425
973,14,634,7,SGST9%,9,115.425
972,14,633,6,CGST 9%,9,24.3
971,14,633,7,SGST9%,9,24.3
970,14,632,6,CGST 9%,9,9.45
969,14,632,7,SGST9%,9,9.45
968,14,631,6,CGST 9%,9,299.25
967,14,631,7,SGST9%,9,299.25
966,14,630,6,CGST 9%,9,470.25
965,14,630,7,SGST9%,9,470.25
978,14,638,6,CGST 9%,9,90
1018,15,670,6,CGST 9%,9,0
1017,15,670,7,SGST9%,9,0
1014,15,666,6,CGST 9%,9,810
1016,15,668,6,CGST 9%,9,8.1
1015,15,668,7,SGST9%,9,8.1
1013,15,666,7,SGST9%,9,810
1012,15,665,6,CGST 9%,9,31.5
1011,15,665,7,SGST9%,9,31.5
1019,16,672,7,SGST9%,9,450
1020,16,672,6,CGST 9%,9,450
1021,16,673,7,SGST9%,9,630
1022,16,673,6,CGST 9%,9,630
1023,16,674,7,SGST9%,9,810
1024,16,674,6,CGST 9%,9,810
1025,16,675,7,SGST9%,9,882
1026,16,675,6,CGST 9%,9,882
1027,16,676,7,SGST9%,9,18
1028,16,676,6,CGST 9%,9,18
1029,16,677,7,SGST9%,9,16.2
1030,16,677,6,CGST 9%,9,16.2
1031,16,678,7,SGST9%,9,135
1032,16,678,6,CGST 9%,9,135
1033,16,679,7,SGST9%,9,180
1034,16,679,6,CGST 9%,9,180
1152,17,740,7,SGST9%,9,180
1151,17,739,6,CGST 9%,9,135
1150,17,739,7,SGST9%,9,135
1149,17,738,6,CGST 9%,9,16.2
1148,17,738,7,SGST9%,9,16.2
1147,17,737,6,CGST 9%,9,18
1146,17,737,7,SGST9%,9,18
1145,17,736,6,CGST 9%,9,882
1144,17,736,7,SGST9%,9,882
1143,17,735,6,CGST 9%,9,810
1142,17,735,7,SGST9%,9,810
1141,17,734,6,CGST 9%,9,630
1140,17,734,7,SGST9%,9,630
1139,17,733,6,CGST 9%,9,450
1138,17,733,7,SGST9%,9,450
1102,18,715,7,SGST9%,9,810
1103,18,715,6,CGST 9%,9,810
1104,18,716,7,SGST9%,9,0
1105,18,716,6,CGST 9%,9,0
1153,17,740,6,CGST 9%,9,180
1137,19,732,6,CGST 9%,9,810
1136,19,732,7,SGST9%,9,810
1135,19,731,6,CGST 9%,9,135
1134,19,731,7,SGST9%,9,135